File Path Face Image,File Path Left Eye Image,File Path Right Eye Image,x,y
data/saved_images/face_image_1.png,data/saved_images/left_eye_image_1.png,data/saved_images/right_eye_image_1.png,1664,624
data/saved_images/face_image_2.png,data/saved_images/left_eye_image_2.png,data/saved_images/right_eye_image_2.png,1559,434
data/saved_images/face_image_3.png,data/saved_images/left_eye_image_3.png,data/saved_images/right_eye_image_3.png,1163,715
data/saved_images/face_image_4.png,data/saved_images/left_eye_image_4.png,data/saved_images/right_eye_image_4.png,377,862
data/saved_images/face_image_5.png,data/saved_images/left_eye_image_5.png,data/saved_images/right_eye_image_5.png,750,611
data/saved_images/face_image_7.png,data/saved_images/left_eye_image_7.png,data/saved_images/right_eye_image_7.png,524,309
data/saved_images/face_image_8.png,data/saved_images/left_eye_image_8.png,data/saved_images/right_eye_image_8.png,1696,49
data/saved_images/face_image_9.png,data/saved_images/left_eye_image_9.png,data/saved_images/right_eye_image_9.png,870,273
data/saved_images/face_image_10.png,data/saved_images/left_eye_image_10.png,data/saved_images/right_eye_image_10.png,45,23
data/saved_images/face_image_11.png,data/saved_images/left_eye_image_11.png,data/saved_images/right_eye_image_11.png,1631,333
data/saved_images/face_image_12.png,data/saved_images/left_eye_image_12.png,data/saved_images/right_eye_image_12.png,1421,222
data/saved_images/face_image_13.png,data/saved_images/left_eye_image_13.png,data/saved_images/right_eye_image_13.png,161,69
data/saved_images/face_image_14.png,data/saved_images/left_eye_image_14.png,data/saved_images/right_eye_image_14.png,395,531
data/saved_images/face_image_15.png,data/saved_images/left_eye_image_15.png,data/saved_images/right_eye_image_15.png,742,247
data/saved_images/face_image_16.png,data/saved_images/left_eye_image_16.png,data/saved_images/right_eye_image_16.png,986,11
data/saved_images/face_image_17.png,data/saved_images/left_eye_image_17.png,data/saved_images/right_eye_image_17.png,155,367
data/saved_images/face_image_18.png,data/saved_images/left_eye_image_18.png,data/saved_images/right_eye_image_18.png,1040,782
